"location","variable","estimate","year"
"Washington","S0802_C03_005",22.5,2010
"Washington","S0802_C03_006",8.7,2010
"Washington","S0802_C03_007",7.5,2010
"Washington","S0802_C03_008",39.7,2010
"Washington","S0802_C03_009",53.3,2010
"Washington","S0802_C03_010",46.7,2010
"Washington","S0802_C03_011",97,2010
"Washington","S0802_C03_012",73.4,2010
"Washington","S0802_C03_013",3,2010
"Washington","S0802_C03_014",1.6,2010
"Washington","S0802_C03_015",11.4,2010
"Washington","S0802_C03_016",0.9,2010
"Washington","S0802_C03_017",6.7,2010
"Washington","S0802_C03_018",3,2010
"Washington","S0802_C03_019",14.5,2010
"Washington","S0802_C03_020",66.6,2010
"Washington","S0802_C03_021",76,2010
"Washington","S0802_C03_022",24,2010
"Washington","S0802_C03_023",9.5,2010
"Washington","S0802_C03_024",14.5,2010
"Washington","S0802_C03_025",27.4,2010
"Washington","S0802_C03_026",11.8,2010
"Washington","S0802_C03_027",15.6,2010
"Washington","S0802_C03_028",319301,2010
"Washington","S0802_C03_029",16,2010
"Washington","S0802_C03_030",7.6,2010
"Washington","S0802_C03_031",15.7,2010
"Washington","S0802_C03_032",13.1,2010
"Washington","S0802_C03_033",16.7,2010
"Washington","S0802_C03_034",11.5,2010
"Washington","S0802_C03_035",5.1,2010
"Washington","S0802_C03_036",14.4,2010
"Washington","S0802_C03_037",32170,2010
"Washington","S0802_C03_038",318409,2010
"Washington","S0802_C03_039",8.5,2010
"Washington","S0802_C03_040",6.6,2010
"Washington","S0802_C03_041",84.9,2010
"Washington","S0802_C03_042",319376,2010
"Washington","S0802_C03_043",34.2,2010
"Washington","S0802_C03_044",17.5,2010
"Washington","S0802_C03_045",20.1,2010
"Washington","S0802_C03_046",15.1,2010
"Washington","S0802_C03_047",12.8,2010
"Washington","S0802_C03_048",0.3,2010
"Washington","S0802_C03_049",5.3,2010
"Washington","S0802_C03_050",8.1,2010
"Washington","S0802_C03_051",12.7,2010
"Washington","S0802_C03_052",2.8,2010
"Washington","S0802_C03_053",9.5,2010
"Washington","S0802_C03_054",4.4,2010
"Washington","S0802_C03_055",6.5,2010
"Washington","S0802_C03_056",12.2,2010
"Washington","S0802_C03_057",19.2,2010
"Washington","S0802_C03_058",8.6,2010
"Washington","S0802_C03_059",4,2010
"Washington","S0802_C03_060",5.5,2010
"Washington","S0802_C03_061",1.1,2010
"Washington","S0802_C03_062",77.3,2010
"Washington","S0802_C03_063",17.3,2010
"Washington","S0802_C03_064",5.3,2010
"Washington","S0802_C03_065",0.1,2010
"Washington","S0802_C03_066",95.1,2010
"Washington","S0802_C03_067",74.7,2010
"Washington","S0802_C03_068",20.3,2010
"Washington","S0802_C03_069",4.9,2010
"Washington","S0802_C03_070",319376,2010
"Washington","S0802_C03_071",6.4,2010
"Washington","S0802_C03_072",5.4,2010
"Washington","S0802_C03_073",6.3,2010
"Washington","S0802_C03_074",11.4,2010
"Washington","S0802_C03_075",10.8,2010
"Washington","S0802_C03_076",13.9,2010
"Washington","S0802_C03_077",11.7,2010
"Washington","S0802_C03_078",8.3,2010
"Washington","S0802_C03_079",4.4,2010
"Washington","S0802_C03_080",21.4,2010
"Washington","S0802_C03_081",9.4,2010
"Washington","S0802_C03_082",10.6,2010
"Washington","S0802_C03_083",14.3,2010
"Washington","S0802_C03_084",15.2,2010
"Washington","S0802_C03_085",5.8,2010
"Washington","S0802_C03_086",15.4,2010
"Washington","S0802_C03_087",9.1,2010
"Washington","S0802_C03_088",9.6,2010
"Washington","S0802_C03_089",10.7,2010
"Washington","S0802_C03_090",29,2010
"Washington","S0802_C03_091",317370,2010
"Washington","S0802_C03_092",64.4,2010
"Washington","S0802_C03_093",35.6,2010
"Washington","S0802_C03_094",2.7,2010
"Washington","S0802_C03_095",21,2010
"Washington","S0802_C03_096",40.6,2010
"Washington","S0802_C03_097",35.8,2010
"Washington","S0802_C03_098",NA,2010
"Washington","S0802_C03_099",NA,2010
"Washington","S0802_C03_100",NA,2010
"Washington","S0802_C03_101",NA,2010
"Washington","S0802_C04_001",167329,2010
"Washington","S0802_C04_002",2.7,2010
"Washington","S0802_C04_003",13,2010
"Washington","S0802_C04_004",47.6,2010
"Washington","S0802_C04_005",18.6,2010
"Washington","S0802_C04_006",9.1,2010
"Washington","S0802_C04_007",9.1,2010
"Washington","S0802_C04_008",38.1,2010
"Washington","S0802_C04_009",51.8,2010
"Washington","S0802_C04_010",48.2,2010
"Washington","S0802_C04_011",96.7,2010
"Washington","S0802_C04_012",69.9,2010
"Washington","S0802_C04_013",6.5,2010
"Washington","S0802_C04_014",1,2010
"Washington","S0802_C04_015",15.9,2010
"Washington","S0802_C04_016",0.6,2010
"Washington","S0802_C04_017",2.8,2010
"Washington","S0802_C04_018",3.3,2010
"Washington","S0802_C04_019",8.6,2010
"Washington","S0802_C04_020",65.3,2010
"Washington","S0802_C04_021",76.9,2010
"Washington","S0802_C04_022",23.1,2010
"Washington","S0802_C04_023",9.6,2010
"Washington","S0802_C04_024",13.5,2010
"Washington","S0802_C04_025",24.8,2010
"Washington","S0802_C04_026",13.7,2010
"Washington","S0802_C04_027",11.1,2010
"Washington","S0802_C04_028",167329,2010
"Washington","S0802_C04_029",16.2,2010
"Washington","S0802_C04_030",7.5,2010
"Washington","S0802_C04_031",13.9,2010
"Washington","S0802_C04_032",11.4,2010
"Washington","S0802_C04_033",15.3,2010
"Washington","S0802_C04_034",11.1,2010
"Washington","S0802_C04_035",5,2010
"Washington","S0802_C04_036",19.6,2010
"Washington","S0802_C04_037",35650,2010
"Washington","S0802_C04_038",165637,2010
"Washington","S0802_C04_039",8.8,2010
"Washington","S0802_C04_040",7.3,2010
"Washington","S0802_C04_041",83.9,2010
"Washington","S0802_C04_042",167329,2010
"Washington","S0802_C04_043",46.4,2010
"Washington","S0802_C04_044",18.4,2010
"Washington","S0802_C04_045",24.4,2010
"Washington","S0802_C04_046",3.3,2010
"Washington","S0802_C04_047",7.3,2010
"Washington","S0802_C04_048",0.3,2010
"Washington","S0802_C04_049",0.5,2010
"Washington","S0802_C04_050",2.2,2010
"Washington","S0802_C04_051",6.6,2010
"Washington","S0802_C04_052",0.8,2010
"Washington","S0802_C04_053",13.2,2010
"Washington","S0802_C04_054",3.8,2010
"Washington","S0802_C04_055",9.6,2010
"Washington","S0802_C04_056",20.9,2010
"Washington","S0802_C04_057",21.5,2010
"Washington","S0802_C04_058",9.2,2010
"Washington","S0802_C04_059",3.5,2010
"Washington","S0802_C04_060",7.4,2010
"Washington","S0802_C04_061",0.7,2010
"Washington","S0802_C04_062",74.9,2010
"Washington","S0802_C04_063",22.9,2010
"Washington","S0802_C04_064",2,2010
"Washington","S0802_C04_065",0.1,2010
"Washington","S0802_C04_066",97.8,2010
"Washington","S0802_C04_067",78,2010
"Washington","S0802_C04_068",19.8,2010
"Washington","S0802_C04_069",2.2,2010
"Washington","S0802_C04_070",167329,2010
"Washington","S0802_C04_071",3.9,2010
"Washington","S0802_C04_072",4.5,2010
"Washington","S0802_C04_073",7.1,2010
"Washington","S0802_C04_074",12.1,2010
"Washington","S0802_C04_075",10.5,2010
"Washington","S0802_C04_076",13.8,2010
"Washington","S0802_C04_077",10.6,2010
"Washington","S0802_C04_078",10.5,2010
"Washington","S0802_C04_079",6.2,2010
"Washington","S0802_C04_080",20.9,2010
"Washington","S0802_C04_081",1.7,2010
"Washington","S0802_C04_082",3.1,2010
"Washington","S0802_C04_083",5.8,2010
"Washington","S0802_C04_084",9.9,2010
"Washington","S0802_C04_085",4.5,2010
"Washington","S0802_C04_086",19.5,2010
"Washington","S0802_C04_087",9,2010
"Washington","S0802_C04_088",17.2,2010
"Washington","S0802_C04_089",29.4,2010
"Washington","S0802_C04_090",44.4,2010
"Washington","S0802_C04_091",165246,2010
"Washington","S0802_C04_092",50.8,2010
"Washington","S0802_C04_093",49.2,2010
"Washington","S0802_C04_094",16.3,2010
"Washington","S0802_C04_095",34.3,2010
"Washington","S0802_C04_096",30.7,2010
"Washington","S0802_C04_097",18.7,2010
"Washington","S0802_C04_098",NA,2010
"Washington","S0802_C04_099",NA,2010
"Washington","S0802_C04_100",NA,2010
"Washington","S0802_C04_101",NA,2010
"Washington","S0802_C01_001",3097398,2011
"Washington","S0802_C01_002",2.9,2011
"Washington","S0802_C01_003",9.7,2011
"Washington","S0802_C01_004",44.1,2011
"Washington","S0802_C01_005",22.8,2011
"Washington","S0802_C01_006",9.9,2011
"Washington","S0802_C01_007",10.7,2011
"Washington","S0802_C01_008",42,2011
"Washington","S0802_C01_009",54.1,2011
"Washington","S0802_C01_010",45.9,2011
"Washington","S0802_C01_011",96.7,2011
"Washington","S0802_C01_012",80.5,2011
"Washington","S0802_C01_013",3.3,2011
"Washington","S0802_C01_014",1.1,2011
"Washington","S0802_C01_015",7.9,2011
"Washington","S0802_C01_016",0.5,2011
"Washington","S0802_C01_017",3.4,2011
"Washington","S0802_C01_018",3.3,2011
"Washington","S0802_C01_019",9.7,2011
"Washington","S0802_C01_020",74.8,2011
"Washington","S0802_C01_021",83.7,2011
"Washington","S0802_C01_022",16.3,2011
"Washington","S0802_C01_023",7.9,2011
"Washington","S0802_C01_024",8.4,2011
"Washington","S0802_C01_025",18.4,2011
"Washington","S0802_C01_026",10.4,2011
"Washington","S0802_C01_027",8,2011
"Washington","S0802_C01_028",3096816,2011
"Washington","S0802_C01_029",13.1,2011
"Washington","S0802_C01_030",7.4,2011
"Washington","S0802_C01_031",14.2,2011
"Washington","S0802_C01_032",13.2,2011
"Washington","S0802_C01_033",16.4,2011
"Washington","S0802_C01_034",12.3,2011
"Washington","S0802_C01_035",5.4,2011
"Washington","S0802_C01_036",18,2011
"Washington","S0802_C01_037",36379,2011
"Washington","S0802_C01_038",3068445,2011
"Washington","S0802_C01_039",6.5,2011
"Washington","S0802_C01_040",6.1,2011
"Washington","S0802_C01_041",87.4,2011
"Washington","S0802_C01_042",3097398,2011
"Washington","S0802_C01_043",38.1,2011
"Washington","S0802_C01_044",17.5,2011
"Washington","S0802_C01_045",23.1,2011
"Washington","S0802_C01_046",9.6,2011
"Washington","S0802_C01_047",10.9,2011
"Washington","S0802_C01_048",0.8,2011
"Washington","S0802_C01_049",2.5,2011
"Washington","S0802_C01_050",6.2,2011
"Washington","S0802_C01_051",10,2011
"Washington","S0802_C01_052",2.9,2011
"Washington","S0802_C01_053",11.7,2011
"Washington","S0802_C01_054",5,2011
"Washington","S0802_C01_055",7.8,2011
"Washington","S0802_C01_056",11.8,2011
"Washington","S0802_C01_057",21.3,2011
"Washington","S0802_C01_058",9,2011
"Washington","S0802_C01_059",4.7,2011
"Washington","S0802_C01_060",5.4,2011
"Washington","S0802_C01_061",1.8,2011
"Washington","S0802_C01_062",75.8,2011
"Washington","S0802_C01_063",18.1,2011
"Washington","S0802_C01_064",6,2011
"Washington","S0802_C01_065",0.2,2011
"Washington","S0802_C01_066",96.6,2011
"Washington","S0802_C01_067",81.2,2011
"Washington","S0802_C01_068",15.3,2011
"Washington","S0802_C01_069",3.4,2011
"Washington","S0802_C01_070",2927279,2011
"Washington","S0802_C01_071",5.6,2011
"Washington","S0802_C01_072",4.7,2011
"Washington","S0802_C01_073",5.8,2011
"Washington","S0802_C01_074",8.7,2011
"Washington","S0802_C01_075",10.1,2011
"Washington","S0802_C01_076",13.1,2011
"Washington","S0802_C01_077",11.9,2011
"Washington","S0802_C01_078",9.4,2011
"Washington","S0802_C01_079",5.6,2011
"Washington","S0802_C01_080",25.2,2011
"Washington","S0802_C01_081",13.2,2011
"Washington","S0802_C01_082",13.8,2011
"Washington","S0802_C01_083",15.9,2011
"Washington","S0802_C01_084",14.7,2011
"Washington","S0802_C01_085",6.3,2011
"Washington","S0802_C01_086",13.9,2011
